url,name,born,died
David_Frost,David Frost,"David Paradine Frost(1939-04-07)7 April 1939Tenterden, Kent, England","31 August 2013(2013-08-31) (aged 74)MS Queen Elizabeth, Mediterranean Sea"
George_Plimpton,George Plimpton,"George Ames Plimpton(1927-03-18)March 18, 1927New York City, U.S.","September 25, 2003(2003-09-25) (aged 76)New York City, U.S."
Ron_Lyle,Ron Lyle,"Ronald David Lyle[1](1941-02-12)February 12, 1941Dayton, Ohio, U.S.","November 26, 2011(2011-11-26) (aged 70)Denver, Colorado, U.S."
Jimmy_Young_(boxer),Jimmy Young (boxer),"(1948-11-14)November 14, 1948Philadelphia, Pennsylvania, U.S.","February 20, 2005(2005-02-20) (aged 56)"
Jhoon_Goo_Rhee,Jhoon Rhee,"(1932-01-07)January 7, 1932Asan, Korea, Japanese Empire","April 30, 2018(2018-04-30) (aged 86)Arlington, Virginia, U.S."
Bruce_Lee,Bruce Lee,"Lee Jun-fan (李振藩)(1940-11-27)November 27, 1940San Francisco, California, U.S.","July 20, 1973(1973-07-20) (aged 32)British Hong Kong"
Ferdie_Pacheco,Ferdie Pacheco,"(1927-12-08)December 8, 1927Tampa, Florida, U.S.","November 16, 2017(2017-11-16) (aged 89)Miami, Florida, U.S."
Leon_Spinks,Leon Spinks,"(1953-07-11)July 11, 1953St. Louis, Missouri, U.S.","February 5, 2021(2021-02-05) (aged 67)Henderson, Nevada, U.S."
Michael_Dokes,Michael Dokes,"(1958-08-10)August 10, 1958Akron, Ohio, U.S.","August 11, 2012(2012-08-11) (aged 54)Akron, Ohio, U.S."
Dave_Semenko,Dave Semenko,"(1957-07-12)July 12, 1957Winnipeg, Manitoba, Canada","June 29, 2017(2017-06-29) (aged 59)Edmonton, Alberta, Canada"
